Sample 1
3/1/2023 3:44 PM
Wavelength (nm)	10mm Absorbance
191.5	11.274
192.0	11.347
192.5	11.400
193.0	11.527
193.5	11.645
194.0	11.687
194.5	11.750
195.0	11.849
195.5	12.116
196.0	12.232
196.5	12.262
197.0	12.286
197.5	12.452
198.0	12.620
198.5	12.651
199.0	12.714
199.5	12.883
200.0	13.024
200.5	12.993
201.0	12.971
201.5	12.907
202.0	12.937
202.5	12.987
203.0	13.041
203.5	13.072
204.0	13.179
204.5	13.171
205.0	13.180
205.5	13.071
206.0	12.999
206.5	12.790
207.0	12.540
207.5	12.405
208.0	12.305
208.5	12.068
209.0	11.963
209.5	11.874
210.0	11.863
210.5	11.765
211.0	11.594
211.5	11.309
212.0	11.097
212.5	11.012
213.0	10.807
213.5	10.509
214.0	10.306
214.5	10.048
215.0	9.838
215.5	9.552
216.0	9.152
216.5	8.851
217.0	8.563
217.5	8.296
218.0	8.026
218.5	7.811
219.0	7.610
219.5	7.378
220.0	7.195
220.5	6.976
221.0	6.737
221.5	6.623
222.0	6.392
222.5	6.138
223.0	6.012
223.5	5.836
224.0	5.640
224.5	5.435
225.0	5.213
225.5	5.031
226.0	4.891
226.5	4.751
227.0	4.584
227.5	4.416
228.0	4.365
228.5	4.271
229.0	4.130
229.5	4.027
230.0	3.949
230.5	3.846
231.0	3.759
231.5	3.643
232.0	3.557
232.5	3.476
233.0	3.458
233.5	3.443
234.0	3.394
234.5	3.377
235.0	3.361
235.5	3.309
236.0	3.252
236.5	3.185
237.0	3.141
237.5	3.098
238.0	3.093
238.5	3.082
239.0	3.071
239.5	3.054
240.0	3.061
240.5	3.034
241.0	3.018
241.5	3.001
242.0	3.003
242.5	2.994
243.0	2.981
243.5	2.977
244.0	2.959
244.5	2.937
245.0	2.935
245.5	2.928
246.0	2.929
246.5	2.948
247.0	2.939
247.5	2.949
248.0	2.948
248.5	2.954
249.0	2.949
249.5	2.954
250.0	3.000
250.5	3.017
251.0	2.996
251.5	3.010
252.0	3.001
252.5	3.026
253.0	3.024
253.5	3.057
254.0	3.064
254.5	3.070
255.0	3.111
255.5	3.109
256.0	3.098
256.5	3.119
257.0	3.136
257.5	3.171
258.0	3.182
258.5	3.228
259.0	3.223
259.5	3.184
260.0	3.195
260.5	3.190
261.0	3.179
261.5	3.171
262.0	3.211
262.5	3.237
263.0	3.240
263.5	3.253
264.0	3.260
264.5	3.226
265.0	3.230
265.5	3.212
266.0	3.188
266.5	3.175
267.0	3.173
267.5	3.165
268.0	3.170
268.5	3.148
269.0	3.160
269.5	3.131
270.0	3.135
270.5	3.090
271.0	3.072
271.5	3.074
272.0	3.031
272.5	3.021
273.0	2.990
273.5	2.964
274.0	2.960
274.5	2.927
275.0	2.896
275.5	2.841
276.0	2.856
276.5	2.849
277.0	2.830
277.5	2.804
278.0	2.835
278.5	2.887
279.0	2.884
279.5	2.876
280.0	2.870
280.5	2.841
281.0	2.833
281.5	2.793
282.0	2.760
282.5	2.689
283.0	2.685
283.5	2.675
284.0	2.640
284.5	2.632
285.0	2.644
285.5	2.641
286.0	2.660
286.5	2.644
287.0	2.635
287.5	2.599
288.0	2.563
288.5	2.529
289.0	2.490
289.5	2.425
290.0	2.411
290.5	2.414
291.0	2.443
291.5	2.414
292.0	2.436
292.5	2.441
293.0	2.449
293.5	2.448
294.0	2.436
294.5	2.399
295.0	2.401
295.5	2.391
296.0	2.365
296.5	2.300
297.0	2.288
297.5	2.276
298.0	2.263
298.5	2.215
299.0	2.197
299.5	2.181
300.0	2.159
300.5	2.161
301.0	2.210
301.5	2.241
302.0	2.236
302.5	2.226
303.0	2.172
303.5	2.108
304.0	2.101
304.5	2.050
305.0	2.023
305.5	2.021
306.0	2.026
306.5	2.019
307.0	1.987
307.5	1.970
308.0	1.954
308.5	1.968
309.0	1.978
309.5	1.947
310.0	1.930
310.5	1.901
311.0	1.859
311.5	1.856
312.0	1.834
312.5	1.835
313.0	1.836
313.5	1.846
314.0	1.823
314.5	1.822
315.0	1.819
315.5	1.845
316.0	1.833
316.5	1.850
317.0	1.841
317.5	1.838
318.0	1.832
318.5	1.799
319.0	1.742
319.5	1.723
320.0	1.706
320.5	1.702
321.0	1.693
321.5	1.706
322.0	1.726
322.5	1.759
323.0	1.790
323.5	1.749
324.0	1.725
324.5	1.704
325.0	1.688
325.5	1.641
326.0	1.580
326.5	1.542
327.0	1.559
327.5	1.580
328.0	1.640
328.5	1.611
329.0	1.607
329.5	1.551
330.0	1.550
330.5	1.549
331.0	1.534
331.5	1.547
332.0	1.608
332.5	1.616
333.0	1.639
333.5	1.603
334.0	1.559
334.5	1.460
335.0	1.418
335.5	1.388
336.0	1.349
336.5	1.339
337.0	1.377
337.5	1.348
338.0	1.371
338.5	1.386
339.0	1.429
339.5	1.429
340.0	1.422
340.5	1.419
341.0	1.440
341.5	1.444
342.0	1.470
342.5	1.498
343.0	1.510
343.5	1.500
344.0	1.482
344.5	1.418
345.0	1.359
345.5	1.305
346.0	1.270
346.5	1.245
347.0	1.269
347.5	1.281
348.0	1.242
348.5	1.215
349.0	1.192
349.5	1.184
350.0	1.191
350.5	1.183
351.0	1.208
351.5	1.270
352.0	1.319
352.5	1.313
353.0	1.274
353.5	1.262
354.0	1.259
354.5	1.265
355.0	1.252
355.5	1.252
356.0	1.260
356.5	1.285
357.0	1.273
357.5	1.246
358.0	1.218
358.5	1.173
359.0	1.131
359.5	1.109
360.0	1.101
360.5	1.122
361.0	1.135
361.5	1.125
362.0	1.124
362.5	1.136
363.0	1.142
363.5	1.127
364.0	1.098
364.5	1.067
365.0	1.064
365.5	1.084
366.0	1.106
366.5	1.107
367.0	1.168
367.5	1.177
368.0	1.145
368.5	1.121
369.0	1.095
369.5	1.051
370.0	1.052
370.5	1.077
371.0	1.089
371.5	1.115
372.0	1.161
372.5	1.143
373.0	1.097
373.5	1.068
374.0	1.059
374.5	1.008
375.0	1.019
375.5	1.028
376.0	1.015
376.5	1.010
377.0	0.994
377.5	0.999
378.0	0.979
378.5	0.979
379.0	0.987
379.5	0.964
380.0	0.992
380.5	1.029
381.0	1.035
381.5	1.025
382.0	1.011
382.5	0.991
383.0	0.972
383.5	0.950
384.0	0.931
384.5	0.916
385.0	0.920
385.5	0.951
386.0	0.975
386.5	0.970
387.0	0.996
387.5	1.002
388.0	1.005
388.5	0.983
389.0	0.995
389.5	1.000
390.0	0.966
390.5	0.977
391.0	0.995
391.5	0.955
392.0	0.938
392.5	0.916
393.0	0.889
393.5	0.890
394.0	0.902
394.5	0.909
395.0	0.915
395.5	0.929
396.0	0.942
396.5	0.896
397.0	0.867
397.5	0.846
398.0	0.850
398.5	0.865
399.0	0.872
399.5	0.886
400.0	0.893
400.5	0.871
401.0	0.848
401.5	0.797
402.0	0.759
402.5	0.723
403.0	0.703
403.5	0.724
404.0	0.735
404.5	0.736
405.0	0.731
405.5	0.730
406.0	0.721
406.5	0.718
407.0	0.718
407.5	0.730
408.0	0.763
408.5	0.814
409.0	0.843
409.5	0.834
410.0	0.817
410.5	0.795
411.0	0.774
411.5	0.753
412.0	0.730
412.5	0.728
413.0	0.754
413.5	0.781
414.0	0.771
414.5	0.762
415.0	0.763
415.5	0.765
416.0	0.731
416.5	0.700
417.0	0.681
417.5	0.690
418.0	0.706
418.5	0.711
419.0	0.702
419.5	0.730
420.0	0.749
420.5	0.769
421.0	0.744
421.5	0.712
422.0	0.682
422.5	0.656
423.0	0.625
423.5	0.630
424.0	0.643
424.5	0.652
425.0	0.654
425.5	0.666
426.0	0.674
426.5	0.683
427.0	0.685
427.5	0.679
428.0	0.682
428.5	0.710
429.0	0.702
429.5	0.690
430.0	0.679
430.5	0.648
431.0	0.655
431.5	0.662
432.0	0.674
432.5	0.659
433.0	0.628
433.5	0.639
434.0	0.621
434.5	0.623
435.0	0.621
435.5	0.595
436.0	0.603
436.5	0.601
437.0	0.605
437.5	0.606
438.0	0.598
438.5	0.611
439.0	0.629
439.5	0.650
440.0	0.661
440.5	0.671
441.0	0.666
441.5	0.665
442.0	0.643
442.5	0.627
443.0	0.611
443.5	0.610
444.0	0.614
444.5	0.609
445.0	0.592
445.5	0.602
446.0	0.599
446.5	0.607
447.0	0.572
447.5	0.538
448.0	0.551
448.5	0.564
449.0	0.557
449.5	0.575
450.0	0.565
450.5	0.573
451.0	0.585
451.5	0.580
452.0	0.570
452.5	0.559
453.0	0.567
453.5	0.562
454.0	0.556
454.5	0.560
455.0	0.527
455.5	0.499
456.0	0.507
456.5	0.535
457.0	0.565
457.5	0.560
458.0	0.553
458.5	0.545
459.0	0.547
459.5	0.561
460.0	0.573
460.5	0.595
461.0	0.632
461.5	0.662
462.0	0.665
462.5	0.645
463.0	0.604
463.5	0.572
464.0	0.537
464.5	0.520
465.0	0.527
465.5	0.556
466.0	0.585
466.5	0.606
467.0	0.628
467.5	0.638
468.0	0.636
468.5	0.609
469.0	0.554
469.5	0.531
470.0	0.539
470.5	0.557
471.0	0.580
471.5	0.580
472.0	0.561
472.5	0.561
473.0	0.555
473.5	0.520
474.0	0.503
474.5	0.500
475.0	0.501
475.5	0.529
476.0	0.543
476.5	0.534
477.0	0.533
477.5	0.542
478.0	0.552
478.5	0.552
479.0	0.578
479.5	0.569
480.0	0.570
480.5	0.581
481.0	0.582
481.5	0.560
482.0	0.563
482.5	0.560
483.0	0.548
483.5	0.537
484.0	0.521
484.5	0.482
485.0	0.447
485.5	0.415
486.0	0.406
486.5	0.397
487.0	0.424
487.5	0.446
488.0	0.453
488.5	0.475
489.0	0.478
489.5	0.478
490.0	0.451
490.5	0.436
491.0	0.458
491.5	0.465
492.0	0.471
492.5	0.501
493.0	0.517
493.5	0.520
494.0	0.503
494.5	0.505
495.0	0.464
495.5	0.428
496.0	0.432
496.5	0.425
497.0	0.448
497.5	0.461
498.0	0.479
498.5	0.466
499.0	0.496
499.5	0.516
500.0	0.500
500.5	0.480
501.0	0.483
501.5	0.479
502.0	0.452
502.5	0.402
503.0	0.378
503.5	0.382
504.0	0.404
504.5	0.402
505.0	0.409
505.5	0.441
506.0	0.468
506.5	0.484
507.0	0.455
507.5	0.435
508.0	0.433
508.5	0.439
509.0	0.417
509.5	0.400
510.0	0.400
510.5	0.411
511.0	0.423
511.5	0.440
512.0	0.458
512.5	0.466
513.0	0.480
513.5	0.497
514.0	0.503
514.5	0.521
515.0	0.537
515.5	0.524
516.0	0.502
516.5	0.507
517.0	0.500
517.5	0.456
518.0	0.406
518.5	0.378
519.0	0.376
519.5	0.393
520.0	0.427
520.5	0.421
521.0	0.456
521.5	0.506
522.0	0.558
522.5	0.585
523.0	0.596
523.5	0.570
524.0	0.548
524.5	0.502
525.0	0.449
525.5	0.422
526.0	0.425
526.5	0.452
527.0	0.451
527.5	0.445
528.0	0.419
528.5	0.365
529.0	0.326
529.5	0.281
530.0	0.259
530.5	0.312
531.0	0.341
531.5	0.376
532.0	0.375
532.5	0.359
533.0	0.338
533.5	0.304
534.0	0.294
534.5	0.294
535.0	0.300
535.5	0.328
536.0	0.352
536.5	0.358
537.0	0.353
537.5	0.344
538.0	0.328
538.5	0.333
539.0	0.353
539.5	0.351
540.0	0.334
540.5	0.347
541.0	0.358
541.5	0.346
542.0	0.342
542.5	0.358
543.0	0.377
543.5	0.415
544.0	0.436
544.5	0.444
545.0	0.442
545.5	0.459
546.0	0.467
546.5	0.480
547.0	0.476
547.5	0.462
548.0	0.440
548.5	0.411
549.0	0.416
549.5	0.398
550.0	0.401
550.5	0.427
551.0	0.430
551.5	0.415
552.0	0.366
552.5	0.308
553.0	0.265
553.5	0.241
554.0	0.282
554.5	0.305
555.0	0.357
555.5	0.386
556.0	0.379
556.5	0.330
557.0	0.329
557.5	0.316
558.0	0.319
558.5	0.323
559.0	0.355
559.5	0.384
560.0	0.397
560.5	0.363
561.0	0.338
561.5	0.318
562.0	0.348
562.5	0.326
563.0	0.336
563.5	0.294
564.0	0.271
564.5	0.279
565.0	0.279
565.5	0.268
566.0	0.289
566.5	0.292
567.0	0.264
567.5	0.242
568.0	0.249
568.5	0.229
569.0	0.212
569.5	0.237
570.0	0.277
570.5	0.315
571.0	0.297
571.5	0.273
572.0	0.244
572.5	0.230
573.0	0.260
573.5	0.303
574.0	0.314
574.5	0.349
575.0	0.396
575.5	0.408
576.0	0.367
576.5	0.354
577.0	0.330
577.5	0.285
578.0	0.259
578.5	0.242
579.0	0.245
579.5	0.262
580.0	0.295
580.5	0.323
581.0	0.343
581.5	0.375
582.0	0.404
582.5	0.426
583.0	0.415
583.5	0.380
584.0	0.368
584.5	0.356
585.0	0.307
585.5	0.292
586.0	0.293
586.5	0.309
587.0	0.329
587.5	0.348
588.0	0.378
588.5	0.399
589.0	0.398
589.5	0.433
590.0	0.431
590.5	0.459
591.0	0.500
591.5	0.509
592.0	0.452
592.5	0.412
593.0	0.382
593.5	0.355
594.0	0.310
594.5	0.279
595.0	0.257
595.5	0.276
596.0	0.293
596.5	0.290
597.0	0.242
597.5	0.225
598.0	0.231
598.5	0.242
599.0	0.255
599.5	0.238
600.0	0.254
600.5	0.284
601.0	0.283
601.5	0.270
602.0	0.292
602.5	0.310
603.0	0.367
603.5	0.397
604.0	0.394
604.5	0.354
605.0	0.329
605.5	0.296
606.0	0.275
606.5	0.302
607.0	0.348
607.5	0.386
608.0	0.420
608.5	0.434
609.0	0.450
609.5	0.432
610.0	0.429
610.5	0.407
611.0	0.375
611.5	0.363
612.0	0.338
612.5	0.316
613.0	0.290
613.5	0.289
614.0	0.301
614.5	0.291
615.0	0.281
615.5	0.296
616.0	0.298
616.5	0.366
617.0	0.456
617.5	0.484
618.0	0.510
618.5	0.514
619.0	0.480
619.5	0.451
620.0	0.396
620.5	0.360
621.0	0.311
621.5	0.315
622.0	0.350
622.5	0.332
623.0	0.321
623.5	0.322
624.0	0.350
624.5	0.391
625.0	0.421
625.5	0.424
626.0	0.349
626.5	0.303
627.0	0.279
627.5	0.257
628.0	0.215
628.5	0.195
629.0	0.175
629.5	0.149
630.0	0.142
630.5	0.150
631.0	0.167
631.5	0.198
632.0	0.236
632.5	0.282
633.0	0.340
633.5	0.385
634.0	0.386
634.5	0.366
635.0	0.315
635.5	0.305
636.0	0.307
636.5	0.244
637.0	0.188
637.5	0.167
638.0	0.201
638.5	0.208
639.0	0.198
639.5	0.146
640.0	0.095
640.5	0.092
641.0	0.105
641.5	0.096
642.0	0.120
642.5	0.132
643.0	0.220
643.5	0.276
644.0	0.301
644.5	0.305
645.0	0.351
645.5	0.338
646.0	0.314
646.5	0.302
647.0	0.314
647.5	0.323
648.0	0.347
648.5	0.361
649.0	0.335
649.5	0.330
650.0	0.338
650.5	0.329
651.0	0.313
651.5	0.349
652.0	0.426
652.5	0.464
653.0	0.450
653.5	0.401
654.0	0.351
654.5	0.329
655.0	0.272
655.5	0.240
656.0	0.207
656.5	0.180
657.0	0.144
657.5	0.104
658.0	0.089
658.5	0.088
659.0	0.147
659.5	0.206
660.0	0.240
660.5	0.350
661.0	0.431
661.5	0.454
662.0	0.517
662.5	0.504
663.0	0.497
663.5	0.469
664.0	0.392
664.5	0.324
665.0	0.270
665.5	0.239
666.0	0.173
666.5	0.155
667.0	0.201
667.5	0.174
668.0	0.209
668.5	0.265
669.0	0.264
669.5	0.291
670.0	0.305
670.5	0.299
671.0	0.292
671.5	0.311
672.0	0.310
672.5	0.333
673.0	0.362
673.5	0.339
674.0	0.301
674.5	0.224
675.0	0.150
675.5	0.144
676.0	0.116
676.5	0.123
677.0	0.144
677.5	0.228
678.0	0.266
678.5	0.282
679.0	0.332
679.5	0.346
680.0	0.363
680.5	0.351
681.0	0.298
681.5	0.267
682.0	0.254
682.5	0.277
683.0	0.253
683.5	0.243
684.0	0.278
684.5	0.313
685.0	0.349
685.5	0.307
686.0	0.335
686.5	0.377
687.0	0.417
687.5	0.439
688.0	0.359
688.5	0.334
689.0	0.306
689.5	0.264
690.0	0.266
690.5	0.242
691.0	0.274
691.5	0.331
692.0	0.342
692.5	0.347
693.0	0.345
693.5	0.301
694.0	0.305
694.5	0.278
695.0	0.225
695.5	0.151
696.0	0.122
696.5	0.105
697.0	0.041
697.5	0.024
698.0	0.057
698.5	0.051
699.0	0.138
699.5	0.177
700.0	0.202
700.5	0.290
701.0	0.336
701.5	0.364
702.0	0.355
702.5	0.299
703.0	0.231
703.5	0.152
704.0	0.080
704.5	0.036
705.0	0.074
705.5	0.146
706.0	0.239
706.5	0.322
707.0	0.373
707.5	0.352
708.0	0.356
708.5	0.353
709.0	0.333
709.5	0.326
710.0	0.325
710.5	0.377
711.0	0.380
711.5	0.302
712.0	0.238
712.5	0.195
713.0	0.176
713.5	0.175
714.0	0.146
714.5	0.117
715.0	0.114
715.5	0.158
716.0	0.171
716.5	0.170
717.0	0.220
717.5	0.283
718.0	0.293
718.5	0.313
719.0	0.327
719.5	0.293
720.0	0.258
720.5	0.208
721.0	0.176
721.5	0.149
722.0	0.132
722.5	0.137
723.0	0.113
723.5	0.164
724.0	0.223
724.5	0.294
725.0	0.346
725.5	0.343
726.0	0.341
726.5	0.350
727.0	0.338
727.5	0.368
728.0	0.335
728.5	0.273
729.0	0.208
729.5	0.174
730.0	0.173
730.5	0.144
731.0	0.105
731.5	0.087
732.0	0.142
732.5	0.207
733.0	0.193
733.5	0.182
734.0	0.199
734.5	0.194
735.0	0.214
735.5	0.216
736.0	0.124
736.5	0.090
737.0	0.142
737.5	0.160
738.0	0.152
738.5	0.206
739.0	0.238
739.5	0.205
740.0	0.199
740.5	0.203
741.0	0.107
741.5	0.075
742.0	0.046
742.5	0.058
743.0	0.053
743.5	0.123
744.0	0.149
744.5	0.176
745.0	0.200
745.5	0.242
746.0	0.217
746.5	0.154
747.0	0.169
747.5	0.292
748.0	0.314
748.5	0.351
749.0	0.351
749.5	0.285
750.0	0.204
750.5	0.195
751.0	0.172
751.5	0.149
752.0	0.214
752.5	0.301
753.0	0.276
753.5	0.214
754.0	0.159
754.5	0.041
755.0	0.027
755.5	0.066
756.0	0.139
756.5	0.175
757.0	0.221
757.5	0.286
758.0	0.348
758.5	0.405
759.0	0.435
759.5	0.377
760.0	0.334
760.5	0.243
761.0	0.158
761.5	0.063
762.0	0.021
762.5	0.032
763.0	0.114
763.5	0.217
764.0	0.258
764.5	0.197
765.0	0.123
765.5	0.066
766.0	0.032
766.5	-0.013
767.0	-0.050
767.5	-0.027
768.0	0.070
768.5	0.137
769.0	0.197
769.5	0.188
770.0	0.191
770.5	0.224
771.0	0.279
771.5	0.190
772.0	0.220
772.5	0.314
773.0	0.418
773.5	0.435
774.0	0.535
774.5	0.538
775.0	0.537
775.5	0.581
776.0	0.506
776.5	0.372
777.0	0.366
777.5	0.390
778.0	0.345
778.5	0.282
779.0	0.283
779.5	0.193
780.0	0.164
780.5	0.193
781.0	0.125
781.5	0.167
782.0	0.158
782.5	0.227
783.0	0.239
783.5	0.288
784.0	0.312
784.5	0.321
785.0	0.283
785.5	0.244
786.0	0.221
786.5	0.174
787.0	0.115
787.5	0.100
788.0	0.095
788.5	0.152
789.0	0.176
789.5	0.113
790.0	0.134
790.5	0.206
791.0	0.209
791.5	0.221
792.0	0.274
792.5	0.313
793.0	0.384
793.5	0.410
794.0	0.403
794.5	0.354
795.0	0.429
795.5	0.433
796.0	0.324
796.5	0.222
797.0	0.196
797.5	0.166
798.0	0.155
798.5	0.170
799.0	0.175
799.5	0.220
800.0	0.216
800.5	0.191
801.0	0.096
801.5	0.019
802.0	0.083
802.5	0.082
803.0	0.173
803.5	0.339
804.0	0.425
804.5	0.603
805.0	0.657
805.5	0.612
806.0	0.511
806.5	0.397
807.0	0.340
807.5	0.276
808.0	0.287
808.5	0.304
809.0	0.280
809.5	0.355
810.0	0.342
810.5	0.298
811.0	0.261
811.5	0.226
812.0	0.236
812.5	0.225
813.0	0.186
813.5	0.107
814.0	0.060
814.5	0.080
815.0	0.085
815.5	0.166
816.0	0.347
816.5	0.422
817.0	0.400
817.5	0.244
818.0	0.085
818.5	-0.013
819.0	-0.040
819.5	-0.019
820.0	0.089
820.5	0.273
821.0	0.504
821.5	0.596
822.0	0.637
822.5	0.572
823.0	0.532
823.5	0.500
824.0	0.423
824.5	0.352
825.0	0.321
825.5	0.321
826.0	0.316
826.5	0.343
827.0	0.345
827.5	0.341
828.0	0.336
828.5	0.336
829.0	0.287
829.5	0.310
830.0	0.334
830.5	0.308
831.0	0.287
831.5	0.353
832.0	0.316
832.5	0.278
833.0	0.216
833.5	0.170
834.0	0.150
834.5	0.231
835.0	0.189
835.5	0.201
836.0	0.238
836.5	0.376
837.0	0.397
837.5	0.326
838.0	0.186
838.5	0.130
839.0	0.098
839.5	0.045
840.0	-0.053
840.5	-0.113
841.0	-0.042
841.5	-0.005
842.0	0.058
842.5	0.147
843.0	0.151
843.5	0.249
844.0	0.267
844.5	0.270
845.0	0.202
845.5	0.110
846.0	0.051
846.5	-0.189
847.0	-0.186
847.5	0.010
848.0	-0.071
848.5	-0.047
849.0	-0.017
849.5	0.062
850.0	0.008


Sample m3 1
3/1/2023 4:02 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.02000	
//WLCalib: 261S 	-0.34000	
//WLCalib: 362S 	-0.41000	
//WLCalib: 484S 	-0.30000	
//WLCalib: 529S 	-0.12000	
//WLCalib: 823S 	-0.33000	
//QSpecEnd: 
190.0	18.512
190.5	17.634
191.0	16.906
191.5	16.330
192.0	15.681
192.5	15.241
193.0	14.727
193.5	14.437
194.0	14.227
194.5	13.973
195.0	13.827
195.5	13.628
196.0	13.429
196.5	13.189
197.0	13.000
197.5	12.853
198.0	12.575
198.5	12.528
199.0	12.333
199.5	12.241
200.0	12.248
200.5	12.094
201.0	12.113
201.5	12.096
202.0	12.110
202.5	12.020
203.0	11.982
203.5	11.890
204.0	11.792
204.5	11.739
205.0	11.728
205.5	11.656
206.0	11.550
206.5	11.351
207.0	11.106
207.5	10.892
208.0	10.708
208.5	10.498
209.0	10.272
209.5	10.090
210.0	9.982
210.5	9.844
211.0	9.607
211.5	9.373
212.0	9.100
212.5	8.941
213.0	8.807
213.5	8.590
214.0	8.289
214.5	8.046
215.0	7.851
215.5	7.509
216.0	7.132
216.5	6.760
217.0	6.450
217.5	6.197
218.0	5.965
218.5	5.785
219.0	5.610
219.5	5.431
220.0	5.274
220.5	5.065
221.0	4.873
221.5	4.693
222.0	4.455
222.5	4.273
223.0	4.193
223.5	4.042
224.0	3.828
224.5	3.645
225.0	3.481
225.5	3.319
226.0	3.129
226.5	2.934
227.0	2.738
227.5	2.527
228.0	2.389
228.5	2.217
229.0	2.104
229.5	2.026
230.0	1.942
230.5	1.915
231.0	1.871
231.5	1.822
232.0	1.765
232.5	1.702
233.0	1.680
233.5	1.640
234.0	1.591
234.5	1.518
235.0	1.448
235.5	1.424
236.0	1.369
236.5	1.333
237.0	1.265
237.5	1.261
238.0	1.249
238.5	1.226
239.0	1.226
239.5	1.231
240.0	1.223
240.5	1.204
241.0	1.143
241.5	1.087
242.0	1.069
242.5	1.069
243.0	1.061
243.5	1.092
244.0	1.144
244.5	1.188
245.0	1.182
245.5	1.177
246.0	1.119
246.5	1.076
247.0	1.015
247.5	0.963
248.0	0.943
248.5	0.955
249.0	0.987
249.5	1.046
250.0	1.128
250.5	1.192
251.0	1.164
251.5	1.157
252.0	1.136
252.5	1.115
253.0	1.085
253.5	1.117
254.0	1.144
254.5	1.201
255.0	1.251
255.5	1.250
256.0	1.227
256.5	1.244
257.0	1.242
257.5	1.225
258.0	1.197
258.5	1.190
259.0	1.102
259.5	1.015
260.0	0.977
260.5	0.979
261.0	1.003
261.5	1.033
262.0	1.110
262.5	1.169
263.0	1.189
263.5	1.154
264.0	1.134
264.5	1.135
265.0	1.174
265.5	1.177
266.0	1.158
266.5	1.119
267.0	1.102
267.5	1.075
268.0	1.045
268.5	0.986
269.0	0.993
269.5	1.003
270.0	1.007
270.5	0.957
271.0	0.904
271.5	0.876
272.0	0.835
272.5	0.809
273.0	0.770
273.5	0.755
274.0	0.774
274.5	0.819
275.0	0.862
275.5	0.846
276.0	0.857
276.5	0.876
277.0	0.826
277.5	0.802
278.0	0.801
278.5	0.853
279.0	0.883
279.5	0.899
280.0	0.904
280.5	0.864
281.0	0.860
281.5	0.818
282.0	0.764
282.5	0.742
283.0	0.748
283.5	0.774
284.0	0.786
284.5	0.785
285.0	0.790
285.5	0.765
286.0	0.776
286.5	0.758
287.0	0.751
287.5	0.730
288.0	0.733
288.5	0.732
289.0	0.736
289.5	0.692
290.0	0.663
290.5	0.638
291.0	0.685
291.5	0.698
292.0	0.728
292.5	0.743
293.0	0.794
293.5	0.820
294.0	0.828
294.5	0.814
295.0	0.789
295.5	0.784
296.0	0.781
296.5	0.744
297.0	0.702
297.5	0.674
298.0	0.668
298.5	0.637
299.0	0.660
299.5	0.678
300.0	0.688
300.5	0.724
301.0	0.745
301.5	0.768
302.0	0.790
302.5	0.791
303.0	0.776
303.5	0.774
304.0	0.799
304.5	0.782
305.0	0.796
305.5	0.796
306.0	0.794
306.5	0.799
307.0	0.807
307.5	0.783
308.0	0.770
308.5	0.772
309.0	0.744
309.5	0.700
310.0	0.670
310.5	0.673
311.0	0.660
311.5	0.659
312.0	0.674
312.5	0.688
313.0	0.726
313.5	0.748
314.0	0.735
314.5	0.752
315.0	0.758
315.5	0.805
316.0	0.791
316.5	0.806
317.0	0.809
317.5	0.812
318.0	0.823
318.5	0.785
319.0	0.739
319.5	0.708
320.0	0.679
320.5	0.694
321.0	0.697
321.5	0.749
322.0	0.774
322.5	0.794
323.0	0.785
323.5	0.720
324.0	0.709
324.5	0.676
325.0	0.681
325.5	0.716
326.0	0.708
326.5	0.728
327.0	0.749
327.5	0.763
328.0	0.748
328.5	0.699
329.0	0.681
329.5	0.631
330.0	0.621
330.5	0.634
331.0	0.611
331.5	0.631
332.0	0.693
332.5	0.748
333.0	0.786
333.5	0.786
334.0	0.758
334.5	0.738
335.0	0.719
335.5	0.685
336.0	0.662
336.5	0.665
337.0	0.701
337.5	0.718
338.0	0.736
338.5	0.749
339.0	0.795
339.5	0.816
340.0	0.822
340.5	0.816
341.0	0.823
341.5	0.823
342.0	0.854
342.5	0.864
343.0	0.866
343.5	0.859
344.0	0.824
344.5	0.739
345.0	0.691
345.5	0.650
346.0	0.620
346.5	0.625
347.0	0.662
347.5	0.678
348.0	0.701
348.5	0.697
349.0	0.671
349.5	0.673
350.0	0.683
350.5	0.694
351.0	0.716
351.5	0.734
352.0	0.735
352.5	0.719
353.0	0.687
353.5	0.662
354.0	0.678
354.5	0.713
355.0	0.718
355.5	0.737
356.0	0.755
356.5	0.746
357.0	0.721
357.5	0.681
358.0	0.644
358.5	0.619
359.0	0.601
359.5	0.606
360.0	0.599
360.5	0.601
361.0	0.603
361.5	0.570
362.0	0.551
362.5	0.561
363.0	0.590
363.5	0.615
364.0	0.617
364.5	0.616
365.0	0.609
365.5	0.636
366.0	0.654
366.5	0.653
367.0	0.702
367.5	0.730
368.0	0.716
368.5	0.722
369.0	0.683
369.5	0.646
370.0	0.666
370.5	0.688
371.0	0.691
371.5	0.733
372.0	0.777
372.5	0.770
373.0	0.745
373.5	0.747
374.0	0.713
374.5	0.689
375.0	0.692
375.5	0.662
376.0	0.648
376.5	0.621
377.0	0.596
377.5	0.608
378.0	0.608
378.5	0.649
379.0	0.643
379.5	0.634
380.0	0.672
380.5	0.680
381.0	0.705
381.5	0.674
382.0	0.665
382.5	0.668
383.0	0.682
383.5	0.688
384.0	0.668
384.5	0.627
385.0	0.644
385.5	0.665
386.0	0.690
386.5	0.637
387.0	0.651
387.5	0.663
388.0	0.691
388.5	0.682
389.0	0.703
389.5	0.683
390.0	0.680
390.5	0.691
391.0	0.691
391.5	0.649
